,State,County,Tract,Number of families,Number of families below poverty line,Vacancy,Coastal Flooding Risk Score,Percent below poverty line,Family median income,Housing Cost,At Risk
295,Florida,Broward,202.04,1979,153.0,185,0.0,7.7,78454.0,1520.0,0
296,Florida,Broward,202.05,1488,96.0,387,0.0,6.4,84544.0,1575.0,0
297,Florida,Broward,202.06,1247,94.0,132,0.0,7.5,81648.0,1657.0,0
298,Florida,Broward,202.09,477,41.0,53,0.0,8.4,73843.0,1337.0,0
299,Florida,Broward,202.10,1584,119.0,149,0.0,7.5,82104.0,1542.0,0
300,Florida,Broward,202.11,868,167.0,74,0.0,19.2,69960.0,1169.0,0
301,Florida,Broward,202.12,1427,79.0,320,0.0,5.5,49751.0,1237.0,0
302,Florida,Broward,202.13,920,82.0,518,0.0,8.9,60750.0,984.0,0
303,Florida,Broward,202.14,596,36.0,10,0.0,5.9,92386.0,1856.0,0
304,Florida,Broward,203.02,2353,245.0,230,0.0,10.4,62147.0,1587.0,0
305,Florida,Broward,203.08,1462,467.0,124,0.0,31.9,56133.0,1828.0,0
306,Florida,Broward,203.09,1618,0.0,44,0.0,0.0,125676.0,1961.0,0
307,Florida,Broward,203.11,968,114.0,59,0.0,11.7,70565.0,1782.0,0
